"","gravity.revised.name","gravity.short.name","gravity.full.name"
"1","field1","Name.of.reviewer","Name.of.reviewer"
"2","field2","Date.of.review","Date.of.review"
"3","field3","Is.this.a.revised.entry.","Is.this.a.revised.entry."
"4","field4","ID.number","ID.number"
"5","field5","Author","Author"
"6","field6","Title","Title"
"7","field7","Year","Year"
"8","field8","Decision.to.exclude.this.paper.","Decision.to.exclude.this.paper."
"9","field9","If.there.is.a.decision.to.exclude.paper.","If.there.is.a.decision.to.exclude.paper..please.provide.reason.below."
"10","field10","Reproducibility.of.same.measure..if.this","Reproducibility.of.same.measure..if.this.option.selected.specify..How.far.apart..below."
"11","field11","Comparison.of.clinic.to.ambulatory","Comparison.of.clinic.to.ambulatory"
"12","field12","Comparison.of.clinic.to.home","Comparison.of.clinic.to.home"
"13","field13","Comparison.of.home.to.ambulatory","Comparison.of.home.to.ambulatory"
"14","field14","Comparison.of.clinic.to.automated.office","Comparison.of.clinic.to.automated.office"
"15","field15","Comparison.of.automated.office.to.ambula","Comparison.of.automated.office.to.ambulatory"
"16","field16","For.reproducibility.of.same.measure.opti","For.reproducibility.of.same.measure.option.above...How.far.apart.."
"17","field17","C1..Were.clinic.office.measurements.made","C1..Were.clinic.office.measurements.made.using.mercury.device."
"18","field18","C2..Confirm.that.included.participants.w","C2..Confirm.that.included.participants.were.either."
"19","field19","X1..Country.of.the.study","X1..Country.of.the.study"
"20","field20","X2..Age..specify.mean.age.if.noted.","X2..Age..specify.mean.age.if.noted."
"21","field21","X2..Age..specify.minimum.age.if.noted.","X2..Age..specify.minimum.age.if.noted."
"22","field22","X2..Age..specify.maximum.age.if.noted.","X2..Age..specify.maximum.age.if.noted."
"23","field23","Sex....female.","Sex....female."
"24","field24","X4..Racial.ethnicity.representation","X4..Racial.ethnicity.representation"
"25","field25","X5..Any.other.important.details.about.th","X5..Any.other.important.details.about.the.population."
"26","field26","X6..Inclusion.criteria","X6..Inclusion.criteria"
"27","field27","X7..Exclusion.criteria","X7..Exclusion.criteria"
"28","field28","X8..Setting.for.monitoring..office.clini","X8..Setting.for.monitoring..office.clinic.reading."
"29","field29","X8..Setting.for.monitoring..office.clini","X8..Setting.for.monitoring..office.clinic.reading..IF..OTHER..selected.above..please.specify."
"30","field30","General.population","General.population"
"31","field31","Primary.care","Primary.care"
"32","field32","Specialty.care","Specialty.care"
"33","field33","Specify.details.of.the.subgroup.below..i","Specify.details.of.the.subgroup.below..if.relevant."
"34","field34","Unclear.or.not.reported","Unclear.or.not.reported"
"35","field35","X1..What.was.the.sampling.frame...Specif","X1..What.was.the.sampling.frame...Specify.details.of.the.subgroup.if.relevant.."
"36","field36","X2..How.were.the.participants.selected.","X2..How.were.the.participants.selected."
"37","field37","X2..How.were.the.participants.selected..","X2..How.were.the.participants.selected..If..other..in.the.question.above..please.specify.here.."
"38","field38","X3..Planned.sample.size.","X3..Planned.sample.size."
"39","field39","X3..If.reported..planned.sample.size.","X3..If.reported..planned.sample.size."
"40","field40","X3..Actual.sample.size.","X3..Actual.sample.size."
"41","field41","X3..If.reported..actual.sample.size.","X3..If.reported..actual.sample.size."
"42","field42","X4..Data.on.drop.outs..if.any.","X4..Data.on.drop.outs..if.any."
"43","field43","X5..Design.of.study","X5..Design.of.study"
"44","field44","X5..Specification.of.design.of.study..if","X5..Specification.of.design.of.study..if.other.design.in.box.above."
"45","field45","X6..Did.either.the.whole.sample..or.a.ra","X6..Did.either.the.whole.sample..or.a.random.selection.of.the.sample..receive.the.same.comparison.measurement.tests."
"46","field46","X7..Were.participants.subject.to.the.sam","X7..Were.participants.subject.to.the.same.comparison.measurement.tests.regardless.of.the.result.of.the.initial.measurement.test."
"47","field47","X8..Were.those.taking.BP.measurements.bl","X8..Were.those.taking.BP.measurements.blinded.to.the.previous.results.of.BP.monitoring."
"48","field48","X9..Were.participants.blinded.to.the.pre","X9..Were.participants.blinded.to.the.previous.results.of.BP.monitoring.measurements."
"49","field49","X10..Were.uninterpretable.measurement.re","X10..Were.uninterpretable.measurement.results.reported..to.avoid.exclusion.bias.."
"50","field50","F.1..Number.of.measurements.1","F.1..Number.of.measurements.1"
"51","field51","F.2..Type.of.monitor.1","F.2..Type.of.monitor.1"
"52","field52","F.3..Monitor.validated..1","F.3..Monitor.validated..1"
"53","field53","F.4..Time.of.day..for.ABPM..define.awake","F.4..Time.of.day..for.ABPM..define.awake.period..1"
"54","field54","F.5..Arm.used.1","F.5..Arm.used.1"
"55","field55","F.6..Who.performed.measurements.1","F.6..Who.performed.measurements.1"
"56","field56","F.7..Mean.of.measurements.1","F.7..Mean.of.measurements.1"
"57","field57","F.8..Cutoff.for.hypertension.1","F.8..Cutoff.for.hypertension.1"
"58","field58","G.1..For.the.first.comparison.to.ABPM..s","G.1..For.the.first.comparison.to.ABPM..specify.the.comparison.group.here."
"59","field59","G.1..If..other..specified.as.comparison.","G.1..If..other..specified.as.comparison.group.above..please.provide.details.here."
"60","field60","G.1..For.the.first.comparison..how.many.","G.1..For.the.first.comparison..how.many.weeks.apart."
"61","field61","G.1..ABPM.threshold.1","G.1..ABPM.threshold.1"
"62","field62","G.1..ABPM.threshold.2","G.1..ABPM.threshold.2"
"63","field63","G.1..Comparison.group.threshold.1","G.1..Comparison.group.threshold.1"
"64","field64","G.1..Comparison.group.threshold.2","G.1..Comparison.group.threshold.2"
"65","field65","G.1..ABPM.vs.comparison.group..specified","G.1..ABPM.vs.comparison.group..specified.above..counts.1"
"66","field66","G.1..ABPM.threshold..duplicate....ignore","G.1..ABPM.threshold..duplicate....ignore."
"67","field67","G.1..Comparison.group.threshold..duplica","G.1..Comparison.group.threshold..duplicate....ignore."
"68","field68","G.2..Clinic.vs.Home.counts.1","G.2..Clinic.vs.Home.counts.1"
"69","field69","G.2..Clinic.threshold.1","G.2..Clinic.threshold.1"
"70","field70","G.2..Clinic.threshold.2","G.2..Clinic.threshold.2"
"71","field71","G.2..Home.threshold.1","G.2..Home.threshold.1"
"72","field72","G.2..Clinic.threshold..duplicate....igno","G.2..Clinic.threshold..duplicate....ignore."
"73","field73","G.2..Home.threshold..duplicate....ignore","G.2..Home.threshold..duplicate....ignore."
"74","field74","G.3..Clinic.vs.ABPM.counts.1","G.3..Clinic.vs.ABPM.counts.1"
"75","field75","G.3..Clinic.threshold.1","G.3..Clinic.threshold.1"
"76","field76","G.3..ABPM.threshold.1","G.3..ABPM.threshold.1"
"77","field77","G.3..ABPM.threshold.2","G.3..ABPM.threshold.2"
"78","field78","G.3..Clinic.threshold..duplicate....igno","G.3..Clinic.threshold..duplicate....ignore."
"79","field79","G.3..ABPM.threshold..duplicate....ignore","G.3..ABPM.threshold..duplicate....ignore."
"80","field80","G.4..Home.vs.ABPM.counts.1","G.4..Home.vs.ABPM.counts.1"
"81","field81","G.4..Home.threshold.1","G.4..Home.threshold.1"
"82","field82","G.4..ABPM.threshold.1","G.4..ABPM.threshold.1"
"83","field83","G.4..Home.threshold..duplicate....ignore","G.4..Home.threshold..duplicate....ignore."
"84","field84","G.4..ABPM.threshold..duplicate....ignore","G.4..ABPM.threshold..duplicate....ignore."
"85","field85","G.5..Clinic.vs.automated.office.counts.1","G.5..Clinic.vs.automated.office.counts.1"
